id,change,artist,event,venue,city,event_time,public_start,presale_start,presale_end,url
vv1AvZkuvGkePCaNR,CHANGED:presale_end,A Charlie Brown Christmas,A Charlie Brown Christmas: The Music of Vince Guaraldi feat. R4ND4ZZO ,Attucks Theatre,Norfolk,2025-12-15T00:30:00Z,2025-10-10T14:00:00Z,,,https://www.ticketmaster.com/a-charlie-brown-christmas-the-music-norfolk-virginia-12-14-2025/event/01006341A53898EF
Z7r9jZ1A7_0Pv,CHANGED:presale_start,I Puritani,I Puritani w/ Metropolitan Opera,Metropolitan Opera House,New York,2025-12-31T23:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_0Pv
Z7r9jZ1A7_0Pv,CHANGED:presale_end,I Puritani,I Puritani w/ Metropolitan Opera,Metropolitan Opera House,New York,2025-12-31T23:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_0Pv
Z7r9jZ1A7_0Pe,CHANGED:presale_start,I Puritani,I Puritani w/ Metropolitan Opera,Metropolitan Opera House,New York,2026-01-04T00:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_0Pe
Z7r9jZ1A7_0Pe,CHANGED:presale_end,I Puritani,I Puritani w/ Metropolitan Opera,Metropolitan Opera House,New York,2026-01-04T00:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_0Pe
Z7r9jZ1A7_0Pd,CHANGED:presale_start,I Puritani,I Puritani w/ Metropolitan Opera,Metropolitan Opera House,New York,2026-01-07T00:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_0Pd
Z7r9jZ1A7_0Pd,CHANGED:presale_end,I Puritani,I Puritani w/ Metropolitan Opera,Metropolitan Opera House,New York,2026-01-07T00:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_0Pd
Z7r9jZ1A7_0P7,CHANGED:presale_start,I Puritani,I Puritani w/ Metropolitan Opera,Metropolitan Opera House,New York,2026-01-10T18:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_0P7
Z7r9jZ1A7_0P7,CHANGED:presale_end,I Puritani,I Puritani w/ Metropolitan Opera,Metropolitan Opera House,New York,2026-01-10T18:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_0P7
Z7r9jZ1A7_0PA,CHANGED:presale_start,I Puritani,I Puritani w/ Metropolitan Opera,Metropolitan Opera House,New York,2026-01-16T00:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_0PA
Z7r9jZ1A7_0PA,CHANGED:presale_end,I Puritani,I Puritani w/ Metropolitan Opera,Metropolitan Opera House,New York,2026-01-16T00:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_0PA
Z7r9jZ1A7_0Pk,CHANGED:presale_start,I Puritani,I Puritani w/ Metropolitan Opera,Metropolitan Opera House,New York,2026-01-18T20:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_0Pk
Z7r9jZ1A7_0Pk,CHANGED:presale_end,I Puritani,I Puritani w/ Metropolitan Opera,Metropolitan Opera House,New York,2026-01-18T20:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_0Pk
Z7r9jZ1A7qk7J,CHANGED:presale_start,Koo Koo,Koo Koo,A&R Music Bar,Columbus,2026-01-24T18:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7qk7J
Z7r9jZ1A7qk7J,CHANGED:presale_end,Koo Koo,Koo Koo,A&R Music Bar,Columbus,2026-01-24T18:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7qk7J
rZ7HnEZ1Afpojd,CHANGED:presale_start,Koo Koo,Magic Bag Presents: Koo Koo - Camp Spork Tour,The Magic Bag,Ferndale,2026-01-25T18:00:00Z,2025-10-03T16:00:00Z,,,https://www.ticketweb.com/event/magic-bag-presents-koo-koo-the-magic-bag-tickets/14591703
rZ7HnEZ1Afpojd,CHANGED:presale_end,Koo Koo,Magic Bag Presents: Koo Koo - Camp Spork Tour,The Magic Bag,Ferndale,2026-01-25T18:00:00Z,2025-10-03T16:00:00Z,,,https://www.ticketweb.com/event/magic-bag-presents-koo-koo-the-magic-bag-tickets/14591703
